Transaction_ID,Date,Type,Category,Amount,Vendor_ID,Employee_ID,Program_ID,Grant_ID,State,Payment_Method,Status,Description
T000035,2025-11-30,Income,Government Grant,19423805,,,P004,G025,Tamil Nadu,RTGS,Completed,Government Grant
T000036,2025-04-08,Income,Government Grant,22440296,,,P010,G022,Rajasthan,Bank Transfer,Pending,Government Grant
T000037,2025-04-14,Expense,Training,-71003,V013,,P007,G004,Maharashtra,NEFT,Completed,Training
T000038,2025-11-29,Expense,Nutrition Kits,-197574,V045,,P015,G004,Delhi,Bank Transfer,Completed,Nutrition Kits
T000039,2024-10-30,Expense,Training,-71134,V001,,P011,G015,Delhi,NEFT,Completed,Training
T000040,2025-02-09,Expense,Salary,-54962,,E197,P013,G019,Madhya Pradesh,NEFT,Completed,Salary
T000041,2026-01-29,Expense,Training,-73656,V097,,P005,G001,Madhya Pradesh,NEFT,Completed,Training
T000042,2025-10-26,Income,Individual Donation,48999,,,P011,G017,Madhya Pradesh,RTGS,Completed,Individual Donation
T000043,2024-12-08,Expense,IT Equipment,-199712,V025,,P002,G023,Karnataka,UPI,Completed,IT Equipment
T000044,2026-04-28,Income,CSR Grant,10165781,,,P002,G016,Karnataka,Cheque,Completed,CSR Grant
T000045,2024-11-29,Expense,Travel,-4249,V110,,P006,G017,Uttar Pradesh,RTGS,Failed,Travel
T000046,2024-10-20,Income,Government Grant,17961458,,,P012,G012,Maharashtra,Bank Transfer,Pending,Government Grant
T000047,2024-09-07,Expense,Office Supplies,-31587,V022,,P011,G012,Karnataka,UPI,Completed,Office Supplies
T000048,2026-03-22,Income,Corporate Donation,905133,,,P002,G015,Rajasthan,UPI,Completed,Corporate Donation
T000049,2026-03-31,Income,Individual Donation,40062,,,P013,G022,Uttar Pradesh,NEFT,Failed,Individual Donation
T000050,2025-02-06,Expense,Office Supplies,-40040,V103,,P006,G024,Gujarat,Cheque,Failed,Office Supplies
T000051,2025-04-18,Expense,Nutrition Kits,-314165,V098,,P002,G002,Tamil Nadu,Bank Transfer,Completed,Nutrition Kits
T000052,2025-05-14,Income,Government Grant,22426277,,,P006,G020,Uttar Pradesh,Bank Transfer,Failed,Government Grant
T000053,2025-11-28,Income,Government Grant,6663147,,,P010,G003,Gujarat,Cheque,Completed,Government Grant
T000054,2025-03-09,Income,Individual Donation,2945,,,P012,G014,Uttar Pradesh,Cheque,Pending,Individual Donation
T000055,2025-08-17,Expense,IT Equipment,-166628,V025,,P005,G016,Maharashtra,Cheque,Failed,IT Equipment
T000056,2025-09-08,Income,International NGO,17016414,,,P004,G009,Uttar Pradesh,NEFT,Completed,International NGO
T000057,2025-12-27,Expense,Utilities,-29911,V038,,P002,G012,Maharashtra,UPI,Completed,Utilities
T000058,2024-11-28,Income,International NGO,21772333,,,P002,G003,Delhi,UPI,Completed,International NGO
T000059,2026-03-06,Income,Government Grant,15883175,,,P015,G025,Karnataka,Bank Transfer,Completed,Government Grant
T000060,2024-07-25,Income,CSR Grant,3585641,,,P005,G011,Maharashtra,Bank Transfer,Completed,CSR Grant
T000061,2025-06-11,Income,International NGO,12018132,,,P009,G003,Uttar Pradesh,NEFT,Completed,International NGO
T000062,2026-03-06,Income,Corporate Donation,2381938,,,P013,G010,Gujarat,Bank Transfer,Completed,Corporate Donation
T000063,2026-04-29,Expense,Utilities,-30469,V034,,P006,G022,Tamil Nadu,NEFT,Completed,Utilities
T000064,2025-11-29,Income,Government Grant,10002616,,,P007,G005,Uttar Pradesh,NEFT,Completed,Government Grant
T000065,2025-07-29,Expense,Training,-20526,V089,,P011,G006,Delhi,UPI,Failed,Training
T000066,2025-11-22,Expense,Travel,-10593,V039,,P010,G021,Delhi,Cheque,Completed,Travel
T000067,2025-02-01,Expense,Salary,-144841,,E257,P002,G006,Karnataka,RTGS,Completed,Salary
T000068,2025-08-12,Income,International NGO,23875274,,,P011,G010,Madhya Pradesh,Cheque,Failed,International NGO
T000069,2026-02-28,Expense,IT Equipment,-221104,V011,,P003,G020,Tamil Nadu,UPI,Completed,IT Equipment
T000070,2025-06-10,Income,International NGO,8018462,,,P005,G015,Maharashtra,NEFT,Pending,International NGO
T000071,2025-04-19,Income,Individual Donation,53151,,,P009,G012,Tamil Nadu,Cheque,Completed,Individual Donation
T000072,2025-04-17,Expense,Nutrition Kits,-126587,V077,,P002,G013,Maharashtra,RTGS,Failed,Nutrition Kits
T000073,2025-10-04,Income,Individual Donation,44617,,,P014,G022,Rajasthan,RTGS,Completed,Individual Donation
T000074,2024-10-24,Income,CSR Grant,3017906,,,P011,G004,Madhya Pradesh,Cheque,Completed,CSR Grant
T000075,2025-08-05,Expense,Utilities,-29060,V082,,P012,G014,Maharashtra,NEFT,Completed,Utilities
T000076,2024-11-10,Expense,Consulting,-278311,V073,,P007,G017,Tamil Nadu,Bank Transfer,Failed,Consulting
T000077,2024-07-27,Expense,Office Supplies,-14249,V052,,P010,G003,Karnataka,RTGS,Failed,Office Supplies
T000078,2026-06-06,Expense,Rent,-94247,V007,,P010,G001,Gujarat,UPI,Completed,Rent
T000079,2025-09-21,Income,CSR Grant,7219649,,,P002,G025,Tamil Nadu,UPI,Failed,CSR Grant
T000080,2026-04-24,Income,International NGO,5220230,,,P009,G013,Uttar Pradesh,NEFT,Pending,International NGO
T000081,2024-11-21,Income,Corporate Donation,4899509,,,P007,G020,Tamil Nadu,RTGS,Completed,Corporate Donation
T000082,2025-09-19,Expense,Consulting,-216125,V008,,P010,G013,Maharashtra,Bank Transfer,Completed,Consulting
T000083,2024-07-28,Expense,Medicines,-50663,V045,,P009,G017,Delhi,Cheque,Completed,Medicines
T000084,2025-04-10,Income,Individual Donation,94429,,,P005,G008,Delhi,Bank Transfer,Failed,Individual Donation
T000085,2026-06-05,Income,International NGO,1841925,,,P009,G018,Delhi,NEFT,Completed,International NGO
T000086,2024-10-19,Income,International NGO,21214400,,,P006,G003,Karnataka,NEFT,Failed,International NGO
T000087,2025-01-08,Income,CSR Grant,3856264,,,P009,G006,Gujarat,Bank Transfer,Completed,CSR Grant
T000088,2026-05-31,Expense,Training,-50136,V104,,P009,G021,Maharashtra,RTGS,Completed,Training
T000089,2025-10-07,Expense,Nutrition Kits,-72281,V011,,P003,G009,Rajasthan,UPI,Pending,Nutrition Kits
T000090,2024-10-19,Income,Individual Donation,86408,,,P014,G021,Rajasthan,RTGS,Failed,Individual Donation
T000091,2025-01-16,Income,Individual Donation,96216,,,P004,G013,Rajasthan,Bank Transfer,Completed,Individual Donation
T000092,2026-06-25,Expense,Consulting,-163777,V068,,P010,G003,Tamil Nadu,UPI,Failed,Consulting
T000093,2025-12-12,Income,Individual Donation,21410,,,P010,G003,Rajasthan,RTGS,Completed,Individual Donation
T000094,2025-02-03,Expense,Nutrition Kits,-335731,V049,,P005,G007,Uttar Pradesh,Cheque,Pending,Nutrition Kits
T000095,2025-08-22,Income,International NGO,28143763,,,P002,G011,Gujarat,NEFT,Completed,International NGO
T000096,2025-04-16,Income,Corporate Donation,4878325,,,P015,G006,Madhya Pradesh,Bank Transfer,Failed,Corporate Donation
T000097,2026-05-18,Income,Government Grant,7261501,,,P014,G001,Delhi,Cheque,Completed,Government Grant
T000098,2026-02-25,Expense,Medicines,-83794,V004,,P011,G003,Tamil Nadu,UPI,Completed,Medicines
T000099,2025-10-07,Income,CSR Grant,12394277,,,P011,G016,Madhya Pradesh,RTGS,Completed,CSR Grant
T000100,2025-01-23,Income,CSR Grant,12438304,,,P013,G010,Uttar Pradesh,NEFT,Completed,CSR Grant
T000101,2026-04-24,Income,Individual Donation,47064,,,P013,G025,Gujarat,NEFT,Completed,Individual Donation
T000102,2025-01-24,Income,CSR Grant,6416686,,,P012,G020,Uttar Pradesh,UPI,Completed,CSR Grant
T000103,2025-11-15,Expense,Office Supplies,-42084,V033,,P004,G019,Madhya Pradesh,UPI,Completed,Office Supplies
T000104,2024-10-15,Expense,Travel,-33149,V023,,P015,G022,Gujarat,RTGS,Failed,Travel
T000105,2024-09-29,Income,International NGO,22374382,,,P006,G025,Rajasthan,Bank Transfer,Completed,International NGO
T000106,2025-04-07,Income,Government Grant,49216698,,,P005,G012,Tamil Nadu,NEFT,Completed,Government Grant
T000107,2025-12-24,Expense,Travel,-12190,V047,,P001,G001,Maharashtra,RTGS,Failed,Travel
T000108,2025-01-05,Expense,Medicines,-219170,V030,,P010,G001,Rajasthan,Bank Transfer,Completed,Medicines
T000109,2026-05-20,Expense,Training,-95855,V098,,P010,G012,Gujarat,UPI,Completed,Training
T000110,2026-04-07,Expense,IT Equipment,-84153,V009,,P011,G016,Gujarat,Cheque,Completed,IT Equipment
T000111,2025-04-06,Expense,Medicines,-485577,V100,,P004,G019,Maharashtra,Bank Transfer,Failed,Medicines
T000112,2025-12-01,Income,Government Grant,22740485,,,P002,G023,Madhya Pradesh,Bank Transfer,Completed,Government Grant
T000113,2025-03-26,Income,International NGO,13883139,,,P001,G014,Karnataka,NEFT,Completed,International NGO
T000114,2026-02-11,Income,CSR Grant,12495469,,,P013,G025,Madhya Pradesh,RTGS,Completed,CSR Grant
T000115,2025-03-10,Income,International NGO,22290080,,,P007,G015,Karnataka,Cheque,Completed,International NGO
T000116,2025-12-07,Income,International NGO,8101874,,,P004,G008,Gujarat,NEFT,Completed,International NGO
T000117,2025-02-01,Income,Individual Donation,13755,,,P004,G002,Karnataka,Cheque,Completed,Individual Donation
T000118,2026-01-31,Income,Government Grant,40419522,,,P007,G016,Uttar Pradesh,Cheque,Pending,Government Grant
T000119,2026-05-18,Income,Corporate Donation,886639,,,P006,G012,Delhi,NEFT,Completed,Corporate Donation
T000120,2025-02-26,Expense,Office Supplies,-15082,V012,,P007,G022,Rajasthan,Bank Transfer,Failed,Office Supplies
T000121,2024-12-03,Income,Government Grant,45315258,,,P007,G024,Delhi,RTGS,Failed,Government Grant
T000122,2025-10-12,Income,International NGO,20916528,,,P012,G010,Madhya Pradesh,RTGS,Pending,International NGO
T000123,2024-09-11,Income,Corporate Donation,4507407,,,P012,G008,Gujarat,UPI,Completed,Corporate Donation
T000124,2024-12-03,Income,Government Grant,40147281,,,P013,G019,Karnataka,Cheque,Failed,Government Grant
T000125,2024-12-22,Expense,Nutrition Kits,-381175,V025,,P006,G003,Karnataka,RTGS,Completed,Nutrition Kits
T000126,2025-06-22,Income,Corporate Donation,1802201,,,P013,G014,Gujarat,UPI,Completed,Corporate Donation
T000127,2025-08-19,Expense,IT Equipment,-408189,V030,,P008,G003,Uttar Pradesh,NEFT,Completed,IT Equipment
T000128,2025-04-14,Income,CSR Grant,8888741,,,P011,G014,Delhi,Cheque,Completed,CSR Grant
T000129,2026-05-23,Expense,IT Equipment,-240543,V035,,P007,G023,Madhya Pradesh,Bank Transfer,Pending,IT Equipment
T000130,2026-04-20,Income,International NGO,23867841,,,P011,G019,Madhya Pradesh,Cheque,Completed,International NGO
T000131,2025-01-08,Income,CSR Grant,11363138,,,P008,G020,Madhya Pradesh,UPI,Completed,CSR Grant
T000132,2026-01-06,Income,International NGO,27707456,,,P004,G007,Gujarat,Cheque,Pending,International NGO
T000133,2025-10-23,Income,Individual Donation,37192,,,P014,G022,Tamil Nadu,NEFT,Completed,Individual Donation
T000134,2026-02-10,Expense,Medicines,-482876,V027,,P003,G009,Tamil Nadu,NEFT,Completed,Medicines
T000135,2025-06-14,Expense,IT Equipment,-411699,V009,,P005,G001,Rajasthan,Bank Transfer,Completed,IT Equipment
T000136,2026-03-22,Expense,Office Supplies,-45207,V072,,P010,G016,Delhi,UPI,Completed,Office Supplies
T000137,2024-10-29,Income,Corporate Donation,4798894,,,P008,G012,Tamil Nadu,UPI,Completed,Corporate Donation
T000138,2025-08-06,Expense,IT Equipment,-379309,V050,,P008,G006,Rajasthan,Cheque,Completed,IT Equipment
T000139,2024-08-21,Income,Corporate Donation,1680735,,,P015,G005,Uttar Pradesh,Bank Transfer,Failed,Corporate Donation
T000140,2024-11-11,Expense,Nutrition Kits,-330405,V067,,P008,G007,Rajasthan,RTGS,Failed,Nutrition Kits
T000141,2024-11-01,Expense,Utilities,-35468,V102,,P004,G016,Gujarat,Cheque,Completed,Utilities
T000142,2026-02-02,Expense,Travel,-32000,V042,,P013,G021,Maharashtra,Cheque,Completed,Travel
T000143,2025-10-22,Expense,IT Equipment,-338527,V003,,P014,G016,Karnataka,Bank Transfer,Completed,IT Equipment
T000144,2026-02-15,Income,CSR Grant,4614297,,,P007,G016,Delhi,Bank Transfer,Failed,CSR Grant
T000145,2025-09-04,Income,CSR Grant,17290859,,,P005,G012,Uttar Pradesh,Cheque,Completed,CSR Grant
T000146,2026-03-24,Income,CSR Grant,16740020,,,P004,G007,Madhya Pradesh,Cheque,Completed,CSR Grant
T000147,2025-07-10,Expense,Nutrition Kits,-245767,V109,,P007,G016,Maharashtra,UPI,Completed,Nutrition Kits
T000148,2026-05-10,Expense,Office Supplies,-13658,V022,,P014,G002,Tamil Nadu,UPI,Completed,Office Supplies
T000149,2024-07-25,Expense,Utilities,-15065,V031,,P013,G018,Madhya Pradesh,RTGS,Completed,Utilities
T000150,2025-09-17,Income,Individual Donation,91224,,,P005,G014,Rajasthan,NEFT,Completed,Individual Donation
T000151,2024-11-01,Expense,IT Equipment,-247888,V033,,P002,G014,Rajasthan,RTGS,Failed,IT Equipment
T000152,2026-05-13,Income,CSR Grant,16615245,,,P008,G005,Madhya Pradesh,RTGS,Failed,CSR Grant
T000153,2025-01-23,Income,International NGO,29447832,,,P007,G003,Gujarat,UPI,Completed,International NGO
T000154,2024-10-19,Income,International NGO,12699594,,,P010,G003,Madhya Pradesh,RTGS,Pending,International NGO
T000155,2025-10-30,Expense,Medicines,-263438,V021,,P002,G002,Maharashtra,Cheque,Completed,Medicines
T000156,2025-03-29,Expense,Rent,-55296,V084,,P015,G010,Madhya Pradesh,NEFT,Completed,Rent
T000157,2025-01-19,Income,Individual Donation,46639,,,P006,G022,Maharashtra,Cheque,Completed,Individual Donation
T000158,2026-01-21,Expense,Rent,-173919,V030,,P012,G006,Madhya Pradesh,UPI,Failed,Rent
T000159,2025-11-08,Income,CSR Grant,13572141,,,P012,G010,Delhi,Cheque,Pending,CSR Grant
T000160,2026-01-09,Expense,Rent,-97223,V037,,P005,G014,Karnataka,Bank Transfer,Failed,Rent
T000161,2026-05-01,Income,International NGO,20392241,,,P005,G010,Karnataka,RTGS,Completed,International NGO
T000162,2024-10-19,Income,CSR Grant,1888331,,,P005,G001,Uttar Pradesh,Bank Transfer,Failed,CSR Grant
T000163,2025-10-06,Expense,Travel,-26295,V104,,P015,G009,Delhi,Cheque,Pending,Travel
T000164,2025-08-09,Expense,Salary,-87637,,E054,P011,G018,Madhya Pradesh,Bank Transfer,Completed,Salary
T000165,2025-08-07,Income,International NGO,23693915,,,P009,G009,Rajasthan,Cheque,Completed,International NGO
T000166,2024-07-20,Income,International NGO,2647619,,,P008,G018,Tamil Nadu,Cheque,Completed,International NGO
T000167,2026-04-05,Expense,Rent,-94265,V074,,P005,G004,Gujarat,UPI,Completed,Rent
T000168,2026-03-26,Expense,IT Equipment,-339185,V056,,P011,G020,Delhi,RTGS,Failed,IT Equipment
T000169,2025-04-11,Income,International NGO,26894934,,,P007,G001,Maharashtra,RTGS,Completed,International NGO
T000170,2026-05-10,Income,CSR Grant,18236545,,,P013,G022,Rajasthan,Bank Transfer,Pending,CSR Grant
T000171,2025-12-20,Income,CSR Grant,16962281,,,P006,G025,Madhya Pradesh,Cheque,Failed,CSR Grant
T000172,2024-10-09,Income,International NGO,11365501,,,P015,G021,Tamil Nadu,RTGS,Completed,International NGO
T000173,2024-12-02,Income,CSR Grant,9871607,,,P009,G013,Delhi,RTGS,Failed,CSR Grant
T000174,2024-12-18,Expense,Training,-98597,V116,,P008,G013,Delhi,RTGS,Completed,Training
T000175,2025-04-27,Expense,Office Supplies,-7400,V010,,P001,G009,Maharashtra,Bank Transfer,Completed,Office Supplies
T000176,2026-01-31,Expense,Nutrition Kits,-221977,V019,,P010,G010,Tamil Nadu,NEFT,Completed,Nutrition Kits
T000177,2024-08-04,Income,Government Grant,39746033,,,P011,G003,Karnataka,UPI,Failed,Government Grant
T000178,2025-03-29,Income,International NGO,12948636,,,P008,G017,Uttar Pradesh,UPI,Completed,International NGO
T000179,2026-07-17,Income,International NGO,15616616,,,P009,G024,Tamil Nadu,NEFT,Completed,International NGO
T000180,2026-06-26,Expense,IT Equipment,-157938,V038,,P005,G011,Maharashtra,Bank Transfer,Completed,IT Equipment
T000181,2026-05-14,Expense,Travel,-45022,V108,,P015,G002,Maharashtra,RTGS,Completed,Travel
T000182,2024-09-16,Income,CSR Grant,19138127,,,P003,G019,Rajasthan,NEFT,Completed,CSR Grant
T000183,2025-12-09,Expense,Rent,-172861,V110,,P010,G019,Tamil Nadu,Bank Transfer,Pending,Rent
T000184,2025-07-23,Income,Individual Donation,18638,,,P002,G017,Uttar Pradesh,NEFT,Failed,Individual Donation
T000185,2026-01-17,Expense,Medicines,-162850,V077,,P005,G005,Madhya Pradesh,RTGS,Completed,Medicines
T000186,2026-05-10,Expense,Office Supplies,-25815,V103,,P004,G004,Delhi,RTGS,Completed,Office Supplies
T000187,2024-12-30,Expense,Office Supplies,-43853,V048,,P009,G002,Madhya Pradesh,Bank Transfer,Completed,Office Supplies
T000188,2026-07-12,Expense,Consulting,-209717,V037,,P008,G025,Uttar Pradesh,Bank Transfer,Completed,Consulting
T000189,2025-10-02,Expense,Rent,-143783,V061,,P003,G009,Uttar Pradesh,Cheque,Completed,Rent
T000190,2025-09-27,Expense,Rent,-87374,V020,,P007,G013,Uttar Pradesh,NEFT,Completed,Rent
T000191,2024-12-19,Expense,IT Equipment,-54105,V103,,P013,G023,Rajasthan,Bank Transfer,Completed,IT Equipment
T000192,2024-11-22,Expense,Utilities,-37585,V025,,P002,G025,Uttar Pradesh,RTGS,Completed,Utilities
T000193,2025-07-06,Expense,Training,-30099,V112,,P001,G005,Karnataka,NEFT,Pending,Training
T000194,2026-05-24,Income,International NGO,18045000,,,P006,G022,Karnataka,UPI,Completed,International NGO
T000195,2025-05-12,Expense,Utilities,-50716,V120,,P011,G012,Maharashtra,Bank Transfer,Pending,Utilities
T000196,2026-03-06,Income,Government Grant,43919637,,,P014,G021,Madhya Pradesh,Cheque,Completed,Government Grant
T000197,2025-04-11,Income,Government Grant,35353121,,,P011,G024,Madhya Pradesh,RTGS,Completed,Government Grant
T000198,2026-01-22,Expense,Medicines,-255940,V083,,P002,G017,Madhya Pradesh,UPI,Completed,Medicines
T000199,2025-07-16,Expense,Medicines,-375883,V004,,P010,G020,Gujarat,UPI,Completed,Medicines
T000200,2025-09-21,Income,CSR Grant,15601747,,,P002,G006,Tamil Nadu,NEFT,Pending,CSR Grant
T000201,2025-01-07,Expense,Rent,-192357,V093,,P004,G020,Madhya Pradesh,Bank Transfer,Pending,Rent
T000202,2026-06-19,Income,Government Grant,22663203,,,P003,G024,Madhya Pradesh,RTGS,Completed,Government Grant
T000203,2025-10-25,Expense,Salary,-108132,,E107,P005,G003,Gujarat,UPI,Completed,Salary
T000204,2026-01-30,Income,International NGO,6605552,,,P002,G014,Delhi,NEFT,Completed,International NGO
T000205,2024-09-28,Expense,Nutrition Kits,-135814,V089,,P007,G025,Maharashtra,RTGS,Failed,Nutrition Kits
T000206,2024-12-21,Expense,Salary,-148911,,E188,P008,G020,Delhi,Cheque,Pending,Salary
T000207,2025-12-07,Income,Corporate Donation,713838,,,P013,G007,Madhya Pradesh,Bank Transfer,Completed,Corporate Donation
T000208,2025-11-20,Income,International NGO,8401802,,,P007,G024,Maharashtra,Cheque,Completed,International NGO
T000209,2024-12-19,Expense,IT Equipment,-482345,V010,,P012,G012,Tamil Nadu,NEFT,Completed,IT Equipment
T000210,2026-01-13,Expense,IT Equipment,-429310,V005,,P011,G022,Delhi,Cheque,Pending,IT Equipment
T000211,2024-07-20,Expense,Nutrition Kits,-101423,V042,,P006,G008,Madhya Pradesh,UPI,Completed,Nutrition Kits
T000212,2025-04-08,Expense,IT Equipment,-98005,V098,,P015,G011,Delhi,NEFT,Completed,IT Equipment
T000213,2025-12-29,Expense,Training,-99779,V081,,P010,G013,Karnataka,Bank Transfer,Completed,Training
T000214,2025-12-23,Income,Corporate Donation,2452538,,,P015,G005,Rajasthan,RTGS,Completed,Corporate Donation
T000215,2024-12-07,Income,CSR Grant,4312643,,,P008,G015,Delhi,NEFT,Completed,CSR Grant
T000216,2024-11-20,Expense,Medicines,-492417,V076,,P008,G024,Madhya Pradesh,Bank Transfer,Pending,Medicines
T000217,2025-09-28,Income,Government Grant,43020481,,,P011,G021,Maharashtra,UPI,Pending,Government Grant
T000218,2025-12-15,Income,International NGO,16740818,,,P009,G015,Uttar Pradesh,Cheque,Pending,International NGO
T000219,2025-05-03,Expense,Nutrition Kits,-350334,V069,,P004,G009,Tamil Nadu,UPI,Failed,Nutrition Kits
T000220,2025-10-27,Income,Individual Donation,67793,,,P004,G024,Delhi,UPI,Pending,Individual Donation
T000221,2025-09-26,Expense,Consulting,-75509,V082,,P006,G015,Madhya Pradesh,NEFT,Completed,Consulting
T000222,2026-06-02,Income,Government Grant,6507463,,,P014,G010,Gujarat,Bank Transfer,Completed,Government Grant
T000223,2026-01-07,Income,CSR Grant,5219397,,,P009,G017,Tamil Nadu,UPI,Completed,CSR Grant
T000224,2025-08-30,Expense,Office Supplies,-9012,V002,,P011,G024,Madhya Pradesh,RTGS,Completed,Office Supplies
T000225,2025-05-07,Income,Corporate Donation,2479764,,,P001,G007,Gujarat,NEFT,Completed,Corporate Donation
T000226,2025-12-16,Expense,Rent,-165854,V062,,P012,G020,Rajasthan,Bank Transfer,Completed,Rent
T000227,2024-08-03,Expense,Office Supplies,-8198,V005,,P014,G003,Tamil Nadu,Bank Transfer,Completed,Office Supplies
T000228,2026-07-08,Income,CSR Grant,10754221,,,P005,G017,Madhya Pradesh,Cheque,Completed,CSR Grant
T000229,2025-08-05,Expense,Office Supplies,-44423,V020,,P013,G002,Gujarat,NEFT,Pending,Office Supplies
T000230,2024-10-18,Income,Corporate Donation,663320,,,P004,G010,Tamil Nadu,NEFT,Completed,Corporate Donation
T000231,2026-02-02,Income,International NGO,21041945,,,P011,G011,Gujarat,Bank Transfer,Failed,International NGO
T000232,2025-12-29,Income,Government Grant,34441423,,,P011,G018,Karnataka,UPI,Completed,Government Grant
T000233,2025-05-26,Expense,Training,-97803,V037,,P014,G023,Karnataka,Bank Transfer,Failed,Training
T000234,2025-06-05,Expense,Utilities,-5192,V061,,P009,G021,Uttar Pradesh,RTGS,Failed,Utilities
T000235,2025-06-18,Income,Government Grant,29357567,,,P014,G008,Delhi,NEFT,Failed,Government Grant
T000236,2026-03-07,Income,CSR Grant,2705389,,,P006,G015,Karnataka,Bank Transfer,Completed,CSR Grant
T000237,2025-04-10,Expense,Travel,-47090,V065,,P008,G006,Maharashtra,Cheque,Failed,Travel
T000238,2026-04-12,Income,Government Grant,32507185,,,P012,G003,Delhi,NEFT,Pending,Government Grant
T000239,2025-08-19,Expense,Nutrition Kits,-169282,V042,,P008,G016,Madhya Pradesh,UPI,Completed,Nutrition Kits
T000240,2025-11-15,Income,Government Grant,39068288,,,P007,G009,Madhya Pradesh,NEFT,Failed,Government Grant
T000241,2025-11-25,Income,Corporate Donation,1348978,,,P015,G017,Madhya Pradesh,Bank Transfer,Completed,Corporate Donation
T000242,2025-01-30,Expense,Utilities,-43105,V009,,P007,G022,Tamil Nadu,UPI,Completed,Utilities
T000243,2026-02-14,Expense,Salary,-98279,,E219,P013,G012,Madhya Pradesh,NEFT,Completed,Salary
T000244,2024-11-04,Expense,Utilities,-60853,V021,,P009,G014,Gujarat,Cheque,Completed,Utilities
T000245,2024-11-23,Income,International NGO,1513984,,,P008,G024,Madhya Pradesh,UPI,Completed,International NGO
T000246,2024-10-22,Income,Government Grant,32512751,,,P015,G007,Karnataka,NEFT,Completed,Government Grant
